Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,ID
Art Burris,1951,1952,F,6’5,220,"April 7, 1924",Tennessee,"Art BurrisApril 7, 1924"
Art Collins,1981,1981,G,6’4,185,"April 14, 1954",St. Thomas University,"Art CollinsApril 14, 1954"
Art Harris,1969,1972,G,6’4,185,"January 13, 1947",Stanford,"Art HarrisJanuary 13, 1947"
Art Heyman,1964,1970,F-G,6’5,205,June 24 1941,Duke,Art HeymanJune 24 1941
Art Hillhouse,1947,1948,C,6’7,220,June 12 1916,Long Island University,Art HillhouseJune 12 1916
Art Long,2001,2003,F-C,6’9,250,"October 1, 1972",Cincinnati,"Art LongOctober 1, 1972"
Art Spector,1947,1950,F,6’4,200,"October 17, 1920",Villanova,"Art SpectorOctober 17, 1920"
Art Spoelstra,1955,1958,C,6’9,220,September 11 1932,Western Kentucky,Art SpoelstraSeptember 11 1932
Art Stolkey,1947,1947,G,6’1,180,"October 23, 1920",Detroit Mercy,"Art StolkeyOctober 23, 1920"
Art Williams,1968,1975,G,6’1,180,"September 29, 1939",Cal Poly Pomona,"Art WilliamsSeptember 29, 1939"
Arthur Becker,1968,1973,F,6’7,205,"January 12, 1942",Arizona State,"Arthur BeckerJanuary 12, 1942"
Artis Gilmore,1972,1988,C,7’2,240,September 21 1949,Gardner-Webb University Jacksonville University,Artis Gilmore*September 21 1949
Arvesta Kelly,1968,1972,G,6’2,175,"November 20, 1945",Lincoln University of Missouri,"Arvesta KellyNovember 20, 1945"
Arvid Kramer,1980,1980,C,6’9,220,"October 2, 1956",Augustana College (SD),"Arvid KramerOctober 2, 1956"
Arvydas Macijauskas,2006,2006,G,6’4,214,"January 19, 1980",,"Arvydas MacijauskasJanuary 19, 1980"
Arvydas Sabonis,1996,2003,C,7’3,279,"December 19, 1964",,"Arvydas Sabonis*December 19, 1964"
Ashraf Amaya,1996,1997,F,6’8,230,"November 23, 1971",Southern Illinois,"Ashraf AmayaNovember 23, 1971"
Ashton Hagans,2021,2021,G,6’3,190,July 8 1999,Kentucky,Ashton HagansJuly 8 1999
Askia Jones,1995,1995,G,6’5,200,"December 3, 1971",Kansas State,"Askia JonesDecember 3, 1971"
Aubrey Davis,1947,1947,G-F,6’2,175,"March 28, 1921",Oklahoma Baptist University,"Aubrey DavisMarch 28, 1921"
Aud Brindley,1947,1947,F,6’4,175,"December 31, 1923",Dartmouth College,"Aud BrindleyDecember 31, 1923"
Audie Norris,1983,1985,C,6’9,230,"December 18, 1960",Jackson State University,"Audie NorrisDecember 18, 1960"
Aulcie Perry,1975,1975,C,6’10,210,July 3 1950,Bethune-Cookman College,Aulcie PerryJuly 3 1950
Austin Carr,1972,1981,G,6’4,200,"March 10, 1948",Notre Dame,"Austin CarrMarch 10, 1948"
Austin Croshere,1998,2009,F,6’9,235,"May 1, 1975",Providence,"Austin CroshereMay 1, 1975"
Austin Daye,2010,2015,F,6’11,220,June 5 1988,Gonzaga,Austin DayeJune 5 1988
Austin Reaves,2022,2022,G,6’5,206,"May 29, 1998",Wichita State Oklahoma,"Austin ReavesMay 29, 1998"
Austin Rivers,2013,2022,G,6’4,200,"August 1, 1992",Duke,"Austin RiversAugust 1, 1992"
Avery Bradley,2011,2022,G,6’3,180,"November 26, 1990",Texas,"Avery BradleyNovember 26, 1990"
Avery Johnson,1989,2004,G,5’10,175,"March 25, 1965",Cameron University Southern University and A&M College,"Avery JohnsonMarch 25, 1965"
Awvee Storey,2005,2008,G-F,6’6,222,"April 18, 1977",Illinois Arizona State,"Awvee StoreyApril 18, 1977"
Axel Toupane,2016,2021,G-F,6’7,197,July 23 1992,,Axel ToupaneJuly 23 1992
Ayo Dosunmu,2022,2022,G,6’5,200,"January 17, 2000",Illinois,"Ayo DosunmuJanuary 17, 2000"
B.J. Armstrong,1990,2000,G,6’2,175,"September 9, 1967",Iowa,"B.J. ArmstrongSeptember 9, 1967"
B.J. Johnson,2019,2022,G,6’7,200,"December 21, 1995",Syracuse La Salle,"B.J. JohnsonDecember 21, 1995"
B.J. Tyler,1995,1995,G,6’1,185,"April 30, 1971",DePaul Texas,"B.J. TylerApril 30, 1971"
Bailey Howell,1960,1971,F,6’7,210,"January 20, 1937",Mississippi State,"Bailey Howell*January 20, 1937"
Bam Adebayo,2018,2022,C-F,6’9,255,July 18 1997,Kentucky,Bam AdebayoJuly 18 1997
Barney Cable,1959,1964,F,6’7,175,July 29 1935,Bradley,Barney CableJuly 29 1935
Baron Davis,2000,2012,G,6’3,209,"April 13, 1979",UCLA,"Baron DavisApril 13, 1979"
Barry Clemens,1966,1976,F,6’6,210,"May 1, 1943",Ohio Wesleyan University,"Barry ClemensMay 1, 1943"
Barry Kramer,1965,1970,F-G,6’4,200,"November 10, 1942",NYU,"Barry KramerNovember 10, 1942"
Barry Leibowitz,1968,1968,G,6’2,180,September 10 1945,Long Island University,Barry LeibowitzSeptember 10 1945
Barry Nelson,1972,1972,C,6’10,230,September 19 1949,Duquesne,Barry NelsonSeptember 19 1949
Barry Orms,1969,1970,G,6’3,190,"May 1, 1946",Saint Louis,"Barry OrmsMay 1, 1946"
Barry Parkhill,1974,1976,G,6’4,185,"May 10, 1951",Virginia,"Barry ParkhillMay 10, 1951"
Barry Stevens,1993,1993,G-F,6’5,195,"January 17, 1963",Iowa State,"Barry StevensJanuary 17, 1963"
Barry Sumpter,1989,1989,F-C,6’11,215,"November 11, 1965",Louisville Austin Peay State University,"Barry SumpterNovember 11, 1965"
Barry Yates,1972,1972,F,6’7,215,"January 30, 1946",Maryland,"Barry YatesJanuary 30, 1946"
Bart Kofoed,1988,1993,G,6’4,210,"March 24, 1964",Hastings College University of Nebraska at Kearney,"Bart KofoedMarch 24, 1964"
Bato Govedarica,1954,1954,G,5’11,185,"April 17, 1928",DePaul,"Bato GovedaricaApril 17, 1928"
Belus Smawley,1947,1952,G-F,6’1,195,"March 20, 1918",Appalachian State University,"Belus SmawleyMarch 20, 1918"
Ben Bentil,2017,2017,F,6’9,235,"March 29, 1995",Providence,"Ben BentilMarch 29, 1995"
Ben Clyde,1975,1975,F,6’7,198,June 10 1951,Florida State,Ben ClydeJune 10 1951
Ben Coleman,1987,1994,F,6’9,235,"November 14, 1961",Minnesota Maryland,"Ben ColemanNovember 14, 1961"
Ben Davis,1997,2000,F,6’9,240,"December 26, 1972",Kansas Arizona,"Ben DavisDecember 26, 1972"
Ben Gillery,1989,1989,C,7-0,235,September 19 1965,Georgetown,Ben GillerySeptember 19 1965
Ben Goldfaden,1947,1947,F,6’1,185,"September 6, 1913",George Washington,"Ben GoldfadenSeptember 6, 1913"
Ben Gordon,2005,2015,G,6’3,200,"April 4, 1983",UConn,"Ben GordonApril 4, 1983"
Ben Handlogten,2004,2005,C,6’10,240,"November 16, 1973",Western Michigan,"Ben HandlogtenNovember 16, 1973"
Ben Hansbrough,2013,2013,G,6’3,203,"December 23, 1987",Mississippi State Notre Dame,"Ben HansbroughDecember 23, 1987"
Ben Kelso,1974,1974,G,6’3,195,"April 11, 1949",Central Michigan University,"Ben KelsoApril 11, 1949"
Ben McDonald,1986,1989,F,6’8,210,July 20 1962,University of California Irvine,Ben McDonaldJuly 20 1962
Ben McLemore,2014,2022,G,6’3,195,"February 11, 1993",Kansas,"Ben McLemoreFebruary 11, 1993"
Ben Moore,2018,2018,F,6’8,220,"May 13, 1995",SMU,"Ben MooreMay 13, 1995"
Ben Poquette,1978,1987,F-C,6’9,235,"May 7, 1955",Central Michigan University,"Ben PoquetteMay 7, 1955"
Ben Schadler,1948,1948,F,6’0,185,"March 9, 1924",Northwestern,"Ben SchadlerMarch 9, 1924"
Ben Scharnus,1947,1949,F,6’2,173,"December 11, 1917",Seton Hall,"Ben ScharnusDecember 11, 1917"
Ben Simmons,2018,2021,G-F,6’11,240,July 20 1996,LSU,Ben SimmonsJuly 20 1996
Ben Uzoh,2011,2012,G,6’3,205,"March 19, 1988",Tulsa,"Ben UzohMarch 19, 1988"
Ben Wallace,1997,2012,F-C,6’9,240,September 10 1974,Virginia Union University,Ben Wallace*September 10 1974
Ben Warley,1963,1970,F-G,6’5,200,"September 4, 1936",Tennessee State,"Ben WarleySeptember 4, 1936"
Bennie Swain,1959,1959,F,6’8,220,"December 16, 1933",Texas Southern,"Bennie SwainDecember 16, 1933"
Beno Udrih,2005,2017,G,6’3,205,July 5 1982,,Beno UdrihJuly 5 1982
Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton,"Benoit BenjaminNovember 22, 1964"
Bernard James,2013,2015,C,6’10,240,"February 7, 1985",Florida State,"Bernard JamesFebruary 7, 1985"
Bernard King,1978,1993,F,6’7,205,"December 4, 1956",Tennessee,"Bernard King*December 4, 1956"
Bernard Robinson,2005,2007,G-F,6’6,210,"December 26, 1980",Michigan,"Bernard RobinsonDecember 26, 1980"
Bernard Thompson,1985,1989,F-G,6’6,210,"August 30, 1962",Fresno State,"Bernard ThompsonAugust 30, 1962"
Bernard Toone,1980,1980,F,6’9,210,July 14 1956,Marquette,Bernard TooneJuly 14 1956
Bernie Harris,1975,1975,F,6’10,200,"November 26, 1950",VCU,"Bernie HarrisNovember 26, 1950"
Bernie Williams,1970,1974,G,6’3,175,"December 30, 1945",La Salle,"Bernie WilliamsDecember 30, 1945"
Bert Cook,1955,1955,G-F,6’3,185,"April 26, 1929",Utah State University,"Bert CookApril 26, 1929"
Bevo Nordmann,1962,1965,C,6’10,225,"December 11, 1939",Saint Louis,"Bevo NordmannDecember 11, 1939"
Bill Allen,1968,1968,C-F,6’8,205,,New Mexico State,Bill Allen
Bill Bolger,1954,1954,F,6’5,205,"August 21, 1931",Georgetown,"Bill BolgerAugust 21, 1931"
Bill Bradley,1968,1968,G,5’11,165,June 16 1941,,Bill BradleyJune 16 1941
Bill Bradley,1968,1977,F-G,6’5,205,July 28 1943,Princeton,Bill Bradley*July 28 1943
Bill Bridges,1963,1975,F-C,6’6,228,"April 4, 1939",Kansas,"Bill BridgesApril 4, 1939"
Bill Buntin,1966,1966,C-F,6’7,250,"May 5, 1942",Michigan,"Bill BuntinMay 5, 1942"
Bill Bunting,1970,1972,F-C,6’8,200,"August 26, 1947",UNC,"Bill BuntingAugust 26, 1947"
Bill Calhoun,1949,1955,F-G,6’3,180,"November 4, 1927",City College of San Francisco,"Bill CalhounNovember 4, 1927"
Bill Cartwright,1980,1995,C,7’1,245,July 30 1957,San Francisco,Bill CartwrightJuly 30 1957
Bill Chamberlain,1973,1974,F,6’6,188,"December 16, 1949",UNC,"Bill ChamberlainDecember 16, 1949"
Bill Closs,1950,1952,F-C,6’5,195,"January 8, 1922",Rice University,"Bill ClossJanuary 8, 1922"
Bill Crow,1968,1968,G,6’1,180,"December 9, 1940",Cerritos College BYU Westminster College of Utah,"Bill CrowDecember 9, 1940"
Bill Curley,1995,2001,F,6’9,220,"May 29, 1972",Boston College,"Bill CurleyMay 29, 1972"
Bill Davis,1947,1947,F,6’3,215,"October 3, 1920",Notre Dame,"Bill DavisOctober 3, 1920"
Bill Dinwiddie,1968,1972,F,6’7,220,July 15 1943,New Mexico Highlands University,Bill DinwiddieJuly 15 1943
Bill Downey,1948,1948,C,6’6,210,"November 11, 1923",Marquette,"Bill DowneyNovember 11, 1923"
Bill Ebben,1958,1958,G,6’4,190,"October 7, 1935",Detroit Mercy,"Bill EbbenOctober 7, 1935"
Bill Edwards,1994,1994,F,6’8,215,September 22 1971,Wright State University,Bill EdwardsSeptember 22 1971
Bill Gabor,1950,1955,G-F,5’11,170,"May 13, 1922",Syracuse,"Bill GaborMay 13, 1922"
Bill Gaines,1969,1969,G,6’4,185,"March 10, 1946",Texas A&M University-Commerce,"Bill GainesMarch 10, 1946"
Bill Garner,1968,1968,C,6’10,220,June 17 1940,University of Portland,Bill GarnerJune 17 1940
Bill Garnett,1983,1986,F,6’9,225,"April 22, 1960",Wyoming,"Bill GarnettApril 22, 1960"
Bill Hanzlik,1981,1990,G-F,6’7,185,"December 6, 1957",Notre Dame,"Bill HanzlikDecember 6, 1957"
Bill Henry,1949,1950,C,6’9,215,"December 27, 1924",Rice University,"Bill HenryDecember 27, 1924"
Bill Herman,1950,1950,G,6’3,170,"May 17, 1924",Mount Union College,"Bill HermanMay 17, 1924"
Bill Hewitt,1969,1975,F,6’7,210,"August 8, 1944",USC,"Bill HewittAugust 8, 1944"
Bill Higgins,1975,1975,G,6’2,180,"December 15, 1952",Ashland University,"Bill HigginsDecember 15, 1952"
Bill Hosket,1969,1972,F-C,6’8,225,"December 20, 1946",Ohio State,"Bill HosketDecember 20, 1946"
Bill Jones,1989,1989,F,6’7,175,"March 18, 1966",Iowa,"Bill JonesMarch 18, 1966"
Bill Keller,1970,1976,G,5’10,177,"August 30, 1947",Purdue,"Bill KellerAugust 30, 1947"
Bill Laimbeer,1981,1994,C,6’11,245,"May 19, 1957",Notre Dame,"Bill LaimbeerMay 19, 1957"
Bill Ligon,1975,1975,G,6’4,180,"May 29, 1952",Vanderbilt,"Bill LigonMay 29, 1952"
Bill Martin,1986,1988,F,6’7,205,"August 16, 1962",Georgetown,"Bill MartinAugust 16, 1962"
Bill Mayfield,1981,1981,F,6’7,205,"October 17, 1957",Iowa,"Bill MayfieldOctober 17, 1957"
Bill McGill,1963,1970,C-F,6’9,225,September 16 1939,Utah,Bill McGillSeptember 16 1939
Bill Melchionni,1967,1976,G,6’1,165,"October 19, 1944",Villanova,"Bill MelchionniOctober 19, 1944"
Bill Meyer,1968,1968,G,6’3,195,"August 30, 1943",Hiram College,"Bill MeyerAugust 30, 1943"
Bill Miller,1949,1949,F,6’3,190,"November 24, 1924",UNC,"Bill MillerNovember 24, 1924"
Bill Mlkvy,1953,1953,F,6’4,190,"January 19, 1931",Temple,"Bill MlkvyJanuary 19, 1931"
Bill Newton,1973,1974,C,6’9,220,"December 22, 1950",LSU,"Bill NewtonDecember 22, 1950"
Bill Roberts,1949,1950,C,6’9,210,"March 13, 1925",Wyoming,"Bill RobertsMarch 13, 1925"
Bill Robinzine,1976,1982,F,6’7,230,"January 20, 1953",DePaul,"Bill RobinzineJanuary 20, 1953"
Bill Russell,1957,1969,C,6’10,215,"February 12, 1934",San Francisco,"Bill Russell*February 12, 1934"
Bill Sharman,1951,1961,G,6’1,175,"May 25, 1926",USC,"Bill Sharman*May 25, 1926"
Bill Smith,1962,1962,G-F,6’5,190,"April 26, 1939",Saint Peter's College,"Bill SmithApril 26, 1939"
Bill Stricker,1971,1971,F,6’9,210,"January 22, 1948",University of the Pacific,"Bill StrickerJanuary 22, 1948"
Bill Thieben,1957,1958,F-C,6’7,215,"March 28, 1935",Hofstra,"Bill ThiebenMarch 28, 1935"
Bill Tosheff,1952,1954,G,6’1,175,June 2 1926,Indiana,Bill TosheffJune 2 1926
Bill Turner,1968,1973,F,6’7,220,"February 18, 1944",University of Akron,"Bill TurnerFebruary 18, 1944"
Bill Walton,1975,1987,C-F,6’11,210,"November 5, 1952",UCLA,"Bill Walton*November 5, 1952"
Bill Wennington,1986,2000,C,7-0,245,"April 26, 1963",St. John's,"Bill WenningtonApril 26, 1963"
Bill Willoughby,1976,1984,F-C,6’8,205,"May 20, 1957",,"Bill WilloughbyMay 20, 1957"
Bill Zopf,1971,1971,G,6’1,170,June 7 1948,Duquesne,Bill ZopfJune 7 1948
Billy Cunningham,1966,1976,F-C,6’6,210,June 3 1943,UNC,Billy Cunningham*June 3 1943
Billy DeAngelis,1971,1971,G,6’1,180,"October 5, 1946",Saint Joseph's,"Billy DeAngelisOctober 5, 1946"
Billy Donovan,1988,1988,G,5’11,171,"May 30, 1965",Providence,"Billy DonovanMay 30, 1965"
Billy Evans,1970,1970,G,6’0,170,"March 3, 1947",Boston College,"Billy EvansMarch 3, 1947"
Billy Garrett,2019,2019,G,6’6,213,"October 16, 1994",DePaul,"Billy GarrettOctober 16, 1994"
Billy Harris,1975,1975,G,6’2,185,"November 12, 1951",Northern Illinois,"Billy HarrisNovember 12, 1951"
Billy Hassett,1950,1951,G,5’11,180,"October 21, 1921",Notre Dame,"Billy HassettOctober 21, 1921"
Billy James,1974,1974,G,6’3,185,"February 11, 1950",Marshall,"Billy JamesFebruary 11, 1950"
Billy Kenville,1954,1960,G-F,6’2,187,"December 1, 1930",St. Bonaventure,"Billy KenvilleDecember 1, 1930"
Billy Knight,1975,1985,G-F,6’6,195,June 9 1952,Pitt,Billy KnightJune 9 1952
Billy McKinney,1979,1986,G,6’0,160,June 5 1955,Northwestern,Billy McKinneyJune 5 1955
Billy Owens,1992,2001,F-G,6’8,220,"May 1, 1969",Syracuse,"Billy OwensMay 1, 1969"
Billy Paultz,1971,1985,C-F,6’11,235,July 30 1948,Cameron University St. John's,Billy PaultzJuly 30 1948
Billy Ray Bates,1980,1983,G,6’4,210,"May 31, 1956",Kentucky State University,"Billy Ray BatesMay 31, 1956"
Billy Reid,1981,1981,G,6’5,190,September 10 1957,New Mexico San Francisco,Billy ReidSeptember 10 1957
Billy Schaeffer,1974,1976,F,6’5,200,"December 11, 1951",St. John's,"Billy SchaefferDecember 11, 1951"
Billy Shepherd,1973,1975,G,5’10,160,"November 18, 1949",Butler,"Billy ShepherdNovember 18, 1949"
Billy Thomas,2005,2008,G,6’4,208,"December 23, 1975",Kansas,"Billy ThomasDecember 23, 1975"
Billy Thompson,1987,1992,F,6’7,195,"December 1, 1963",Louisville,"Billy ThompsonDecember 1, 1963"
Bimbo Coles,1991,2004,G,6’1,180,"April 22, 1968",Virginia Tech,"Bimbo ColesApril 22, 1968"
Bingo Smith,1970,1980,F-G,6’5,195,"February 26, 1946",Tulsa,"Bingo SmithFebruary 26, 1946"
Bird Averitt,1974,1978,G,6’1,170,July 22 1952,Pepperdine,Bird AverittJuly 22 1952
Bismack Biyombo,2012,2022,C-F,6’8,255,"August 28, 1992",,"Bismack BiyomboAugust 28, 1992"
Bison Dele,1992,1999,F-C,6’9,235,"April 6, 1969",Maryland Arizona,"Bison DeleApril 6, 1969"
Blackie Towery,1949,1950,F-C,6’4,210,June 20 1920,Western Kentucky,Blackie ToweryJune 20 1920
Blaine Denning,1953,1953,G,6’2,175,September 19 1930,Lawrence Technological University,Blaine DenningSeptember 19 1930
Blair Rasmussen,1986,1993,C,7-0,250,"November 13, 1962",Oregon,"Blair RasmussenNovember 13, 1962"
Blake Ahearn,2008,2012,G,6’2,190,"May 27, 1984",Missouri State,"Blake AhearnMay 27, 1984"
Blake Griffin,2011,2022,F,6’9,250,"March 16, 1989",Oklahoma,"Blake GriffinMarch 16, 1989"
Blue Edwards,1990,1999,G-F,6’4,200,"October 31, 1965",East Carolina University,"Blue EdwardsOctober 31, 1965"
Bo Ellis,1978,1980,F,6’9,197,"August 8, 1954",Marquette,"Bo EllisAugust 8, 1954"
Bo Erias,1958,1958,F,6’3,220,July 30 1932,Niagara University,Bo EriasJuly 30 1932
Bo Kimble,1991,1993,G,6’4,190,"April 9, 1966",USC Loyola Marymount,"Bo KimbleApril 9, 1966"
Bo Lamar,1974,1977,G,6’1,180,"April 7, 1951",Louisiana,"Bo LamarApril 7, 1951"
Bo Outlaw,1994,2008,F,6’8,210,"April 13, 1971",South Plains College Houston,"Bo OutlawApril 13, 1971"
Bob Allen,1969,1969,F,6’9,205,July 17 1946,Marshall,Bob AllenJuly 17 1946
Bob Anderegg,1960,1960,F-G,6’3,200,"August 24, 1937",Michigan State,"Bob AndereggAugust 24, 1937"
Bob Armstrong,1957,1957,C-F,6’8,220,June 17 1933,Michigan State,Bob ArmstrongJune 17 1933
Bob Arnzen,1970,1974,F,6’5,205,"November 3, 1947",Notre Dame,"Bob ArnzenNovember 3, 1947"
Bob Bedell,1968,1971,F,6’7,205,June 26 1944,Stanford,Bob BedellJune 26 1944
Bob Bigelow,1976,1979,F-G,6’7,215,"December 26, 1953",Penn,"Bob BigelowDecember 26, 1953"
Bob Boozer,1961,1971,F,6’8,215,"April 26, 1937",Kansas State,"Bob BoozerApril 26, 1937"
Bob Brannum,1950,1955,F-C,6’5,215,"May 28, 1926",Michigan State,"Bob BrannumMay 28, 1926"
Bob Brown,1949,1950,F,6’4,205,"November 12, 1923",Miami University,"Bob BrownNovember 12, 1923"
Bob Burrow,1957,1958,C-F,6’7,228,June 29 1934,Kentucky,Bob BurrowJune 29 1934
Bob Carney,1955,1955,G,6’3,170,"August 3, 1932",Bradley,"Bob CarneyAugust 3, 1932"
Bob Carpenter,1950,1951,F-C,6’5,200,"November 6, 1917",Texas A&M University-Commerce,"Bob CarpenterNovember 6, 1917"
Bob Carrington,1978,1980,G-F,6’6,195,July 3 1953,Boston College,Bob CarringtonJuly 3 1953
Bob Christian,1970,1974,C,6’10,255,"May 11, 1946",Grambling State University,"Bob ChristianMay 11, 1946"
Bob Cluggish,1947,1947,C,6’10,235,September 18 1917,Kentucky,Bob CluggishSeptember 18 1917
Bob Cousy,1951,1970,G,6’1,175,"August 9, 1928",Holy Cross,"Bob Cousy*August 9, 1928"
Bob Dandridge,1970,1982,F-G,6’6,195,"November 15, 1947",Norfolk State,"Bob Dandridge*November 15, 1947"
Bob Davies,1949,1955,G-F,6’1,175,"January 15, 1920",Seton Hall,"Bob Davies*January 15, 1920"
Bob Davis,1973,1973,F,6’7,215,"April 2, 1950",Weber State,"Bob DavisApril 2, 1950"
Bob Dille,1947,1947,F,6’3,190,July 2 1917,Valparaiso,Bob DilleJuly 2 1917
Bob Doll,1947,1950,F-C,6’5,195,"August 10, 1919",Colorado,"Bob DollAugust 10, 1919"
Bob Donham,1951,1954,G-F,6’2,190,"October 11, 1926",Ohio State,"Bob DonhamOctober 11, 1926"
Bob Duffy,1947,1947,F,6’4,175,July 5 1922,Tulane,Bob DuffyJuly 5 1922
Bob Duffy,1963,1965,G,6’3,185,"September 26, 1940",Colgate,"Bob DuffySeptember 26, 1940"
Bob Elliott,1979,1981,C-F,6’9,225,"August 18, 1955",Arizona,"Bob ElliottAugust 18, 1955"
Bob Evans,1950,1950,G,6’2,175,"May 31, 1925",Butler,"Bob EvansMay 31, 1925"
Bob Gantt,1947,1947,F-C,6’4,205,June 22 1922,Duke,Bob GanttJune 22 1922
Bob Greacen,1970,1972,F,6’7,206,September 15 1947,Rutgers University,Bob GreacenSeptember 15 1947
Bob Gross,1976,1983,F-G,6’6,200,"August 3, 1953",Seattle University Cal State Long Beach,"Bob GrossAugust 3, 1953"
Bob Hansen,1984,1992,G,6’6,190,"January 18, 1961",Iowa,"Bob HansenJanuary 18, 1961"
Bob Harris,1950,1954,F-C,6’7,195,"March 16, 1927",Oklahoma State,"Bob HarrisMarch 16, 1927"
Bob Harrison,1950,1958,G,6’1,190,"August 12, 1927",Michigan,"Bob HarrisonAugust 12, 1927"
Bob Hogsett,1967,1968,F,6’7,230,"January 29, 1941",Tennessee,"Bob HogsettJanuary 29, 1941"
Bob Hopkins,1957,1960,C-F,6’8,205,"November 3, 1934",Grambling State University,"Bob HopkinsNovember 3, 1934"
Bob Houbregs,1954,1958,C-F,6’8,225,"March 12, 1932",Washington,"Bob Houbregs*March 12, 1932"
Bob Hubbard,1948,1949,C-F,6’6,215,"December 27, 1922",Springfield College,"Bob HubbardDecember 27, 1922"
Bob Kauffman,1969,1975,F-C,6’8,240,July 13 1946,Guilford College,Bob KauffmanJuly 13 1946
Bob Kinney,1949,1950,C-F,6’6,215,September 16 1920,Rice University,Bob KinneySeptember 16 1920
Bob Knight,1955,1955,G-F,6’2,185,"April 30, 1929",,"Bob KnightApril 30, 1929"
Bob Lackey,1973,1974,G-F,6’5,200,"April 4, 1949",Marquette,"Bob LackeyApril 4, 1949"
Bob Lanier,1971,1984,C,6’11,250,September 10 1948,St. Bonaventure,Bob Lanier*September 10 1948
Bob Lavoy,1951,1954,F-C,6’7,185,June 29 1926,Western Kentucky,Bob LavoyJune 29 1926
Bob Lochmueller,1953,1953,F,6’5,185,June 5 1927,Louisville,Bob LochmuellerJune 5 1927
Bob Love,1967,1977,F,6’8,215,"December 8, 1942",Southern University and A&M College,"Bob LoveDecember 8, 1942"
Bob Martin,1994,1995,C,7-0,250,"October 7, 1969",Minnesota,"Bob MartinOctober 7, 1969"
Bob McAdoo,1973,1986,C-F,6’9,210,"September 25, 1951",Vincennes University UNC,"Bob McAdoo*September 25, 1951"
Bob McCann,1990,1998,F,6’6,244,"April 22, 1964",Upsala College Morehead State University,"Bob McCannApril 22, 1964"
Bob McIntyre,1968,1970,F,6’6,215,"January 23, 1944",St. John's,"Bob McIntyreJanuary 23, 1944"
Bob McNeill,1961,1962,G,6’1,170,"October 22, 1938",Saint Joseph's,"Bob McNeillOctober 22, 1938"
